SNMP-2PV3,"Internal SNMP/WEB Card for use with J60c and J60ci Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
SNMP-J60,"External SNMP/Web Card for use with J60-600(i) Series UPS; monitor critical UPS parameters, alarms, and status; output power control to reboot loads; packaging = 7.5""W x 6""D x 2.5""H, 1 lb",$279.00 ,,
EMD-J60,"Environmental Monitoring Sensor to monitor ambient temperature and humidity. Include two user defined contact closures.  Must be used with SNMP-J60 External SNMP Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 1  lb",$195.00 ,,
XPC-515P-3RA,"Optional 3ft,  5-15P line cord with right angle offset for use with J60-350. Weight:  .5 lbs",$22.00 ,,
XPC-515P-6RA,"Optional 6ft, 5-15P line cord with right angle offset for use with J60-350. Weight: .5 lbs",$22.00 ,,
XBDM-1015LV,"Xtreme Power XBDM Series 15 Amp Maintenance Bypass Distribution Module with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of BDM + (4) 5-15R output receptacles on rear of BDM; Includes maint bypass switch allowing for  bypassing and maintenance of the UPS without affecting the connected loads;3-Year Warranty (USA and Canada); 19""W x 3.5""D x 1.75""H, 3.5 lbs   For use with 700VA, 1000VA, 1500VA V80 Series ",$379.00 ,,
XPD1415HV,"Xtreme Power XPDU Series Basic Power PDU with 12' Input line cord with 5-15P plug; (6) 5-15R output receptacles on front of PDU + (8) 5-15R output receptacles on rear of PDU; UL60950-1/cUL/FCC Approved; 3-Year Warranty; 19""W x 3.5""D x 1.75""H, 3.5 lbs",$138.00 ,,
J60-DIN,DIN Rail mount for J60,$19.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
A60-550,"Xtreme Power A60 Series 550VA/330W Standby UPS 120VAC; 6' Input line cord with 5-15P plug; (10) 5-15R output receptacles, (5 battery backup + 5 surge only); Tower, Desk or Wall Mounting;  USB Port, Communication Cable and Shutdown Software; UL, cUL, RoHS approved, TAA Compliant; 3 Year Full Warranty (USA and Canada only); $25K Load Protection Policy; 6.2""W x 12""D x 3.7""H, 5.7 lbs",$125.00 ,,
A60-850,"Xtreme Power A60 Series 850VA/500W Standby UPS 120VAC; 6' Input line cord with 5-15P plug; (10) 5-15R output receptacles, (5 battery backup + 5 surge only);  Tower, Desk or Wall Mounting;  touch screen display; USB Charging Port;  USB Communication Port, Communication Cable and Shutdown Software; UL, cUL, RoHS approved, TAA Compliant; 3 Year Full Warranty (USA and Canada only); $25K Load Protection Policy; 6.2""W x 12""D x 3.7""H, 6.4 lbs",$165.00 ,,
SNMP-USB,"External SNMP/Web Card for use with A60  Series UPS; packaging = 7.5""W x 6""D x 2.5""H, 2lbs",$325.00 ,,
A605SP,"Xtended 5YR Factory Warranty for A60 Series UPS  (USA Only) - 5 Year Coverage includes coverge of electronics and batteries, telephone technical support, advanced exchange and ground shipment both ways.",$69.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
S71-700,"XPC S71 Series 700VA/420W Line-Interactive Tower UPS 120VAC; 6' detachable Input line cord with 5-15P plug; (4) 5-15R output receptacles; touch LCD display; 465 Joule surge suppression rating;  Auto Restart;  USB Port, Communications Cable and Shutdown Software;  UL/cUL listed, RoHS, TAA Compliant; 3-Year Full Warranty (USA and Canada); $25K Load Protection Policy; 3.9""W x 11.3""D x 5.6""H, 11.2 lbs",$189.00 ,,
S71-1000,"XPC S71 Series 1000VA/600W Line-Interactive Tower UPS 120VAC; 6' Input line cord with 5-15P plug; (6) 5-15R output receptacles; touch LCD display; 465 Joule surge suppression rating;   Auto Restart; USB Port, Communications Cable and Shutdown Software; RJ45 Surge protection port; UL/cUL listed, RoHS, TAA Compliant; 3-Year Full Warranty (USA and Canada); $25K Load Protection Policy; 5.1""W x 12.6""D x 5.6""H, 18.0 lbs",$275.00 ,,
S71-1500,"XPC S71 Series 1500VA/900W Line-Interactive Tower UPS 120VAC; 6' Input line cord with 5-15P plug; (6) 5-15R output receptacles; touch LCD display; 465 Joule surge suppression rating;  Auto Restart;  USB Port, Communications Cable and Shutdown Software; RJ45 Surge protection port;  UL/cUL listed, RoHS, TAA Compliant;  3-Year Full Warranty (USA and Canada); $25K Load Protection Policy; 5.1""W x 12.6""D x 7.1""H, 23.0 lbs",$389.00 ,,
SNMP-USB,"External SNMP/Web Card for use with XST or S70 Series UPS; packaging = 7.5""W x 6""D x 2.5""H, 2 lbs",$325.00 ,,
S715SP57,"Xtended 5YR Factory Warranty for S71-700 (USA and Canada) - 5 Year Coverage includes coverage of electronics and batteries, telephone technical support, advanced exchange and ground shipping both ways.",$95.00 ,,
S715SP152,"Xtended 5YR Factory Warranty for S71-1000/1500 (USA and Canada) - 5 Year Coverage includes coverage of electronics and batteries, telephone technical support, advanced exchange and ground shipping both ways..",$140.00 ,,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
V80-700,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 2.3 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved;   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 24 lbs",$499.00 ,,
V80-700XR1,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 4.3 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 25.5 lbs",$565.00 ,,
V80-700XR2,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 13 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 31 lbs",$625.00 ,,
V80-700XR3,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 21 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 37 lbs",$685.00 ,,
V80-700XR4,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 22 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 43 lbs",$745.00 ,,
V80-1000,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 2.7 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved;   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 27.3 lbs",$659.00 ,,
V80-1000XR1,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 6.0 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 31.3 lbs",$755.00 ,,
V80-1000XR2,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 16.0 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 43 lbs",$865.00 ,,
V80-1500,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 1.6 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved;  3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 29.3 lbs",$749.00 ,,
V80-1500XR1,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 3.8 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 32.3 lbs",$809.00 ,,
V80-1500XR2,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 11 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 32.3 lbs",$949.00 ,,
V80-2000,"Xtreme Power V80 Series 2000VA/1200W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C19 to 5-20 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 1.6 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved;  3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 31.3 lbs",$869.00 ,,
V80-2000XR1,"Xtreme Power V80 Series 2000VA/1200W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C19 to 5-20 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 1.7 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 34.3 lbs",$899.00 ,,
V80-2000XR2,"Xtreme Power V80 Series 2000VA/1200W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C19 to 5-20 input line cord; (8) 5-15R output receptacles ;  Hot Swappable batteries; 1-6A adjustable charger; Full Load Runtime = 4.4 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 46.3 lbs","$1,039.00 ",,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
V80-0.7kLi1,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = < 3 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 21.2 lbs",$999.00 ,,
V80-0.7kLi2,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 16 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 23.4 lbs","$1,399.00 ",,
V80-0.7kLi3,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 18 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 25.6 lbs","$1,799.00 ",,
V80-0.7kLi4,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 22 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 27.8 lbs","$2,199.00 ",,
V80-1kLi1,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 7 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 24.2 lbs","$1,549.00 ",,
V80-1kLi2,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 20 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 28.6 lbs","$2,349.00 ",,
V80-1.5kLi1,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = <3 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 26 lbs","$1,639.00 ",,
V80-1.5kLi2,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable LiFeP04  batteries; 1-6A adjustable charger; Full Load Runtime = 11 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   5 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 30.4 lbs","$2,439.00 ",,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
V80-700HT1,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 3.6 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 25.5 lbs",$579.00 ,,
V80-700HT2,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 10 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 31 lbs",$689.00 ,,
V80-700HT3,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 21 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 37 lbs",$799.00 ,,
V80-700HT4,"Xtreme Power V80 Series 700VA/420W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 22 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 43 lbs",$909.00 ,,
V80-1000HT1,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 4.9 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 31.3 lbs",$799.00 ,,
V80-1000HT2,"Xtreme Power V80 Series 1000VA/600W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 14.0 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 43 lbs","$1,019.00 ",,
V80-1500HT1,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 3.2 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 32.3 lbs",$879.00 ,,
V80-1500HT2,"Xtreme Power V80 Series 1500VA/900W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C13 to 5-15 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 9 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 32.3 lbs","$1,099.00 ",,
V80-2000HT1,"Xtreme Power V80 Series 2000VA/1200W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C19 to 5-20 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 1.7 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 34.3 lbs",$999.00 ,,
V80-2000HT2,"Xtreme Power V80 Series 2000VA/1200W; Line-Interactive  UPS; 2U; 120VAC; pure sinewave output;  5' detachable C19 to 5-20 input line cord; (8) 5-15R output receptacles ;  Hot Swappable High Temperature Batteries; 1-6A adjustable charger; Full Load Runtime = 4.4 min; ECO mode; Tower and rack mounting;  Smart LCD screen; Intelligent slot; RS-232, USB port, and EPO connections; UL, cUL, RoHS approved; TAA Compliant   3 year full Warranty (USA and Canada);  25K load protection policy; 17.2"" x 16.1"" x 3.5""; 46.3 lbs","$1,219.00 ",,
,,,,
MODEL,DESCRIPTION,LIST PRICE,,
SNMP-2PV3,"Internal SNMP/WEB Card for use with V80, P80 or  P91(g) Series UPS; Allows for monitoring and management of UPS through a web browser or SNMP platform: Provides shutdown of remote clients via LAN, and Email Notification of UPS status and events. Compatible with SNMP-EMPV2 Environmental Monitor;  Packaging  = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$359.00 ,,
SNMP-EMPV2,"Environmental Monitoring Sensor to monitor room temperature and humidity -  used with SNMP-2PV3 SNMP/WEB Card. Packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$230.00 ,,
RELAY-MINI,"Dry Contact RELAY CARD with DB9 & terminal block adapter; packaging = 5.7""W x 5.2""D x 1.7""H, 0.3 lbs",$120.00 ,,
XPC-2PRAIL,"2-Post Rail Kit for V80, P80, P91(g) and NXRT 800VA thru 5kVA  UPS or EBM;  rated for 125 lbs;  4""W x 20""D x 3""H. 5 lbs.",$102.00 ,,
XPC-2POSTL,"2-Post Shelf Kit for V80, P91(g)-1000, 1500, 2000, 3000;  rated for 150lbs;   21.5""W x 23.3""D x 3.5""H. 9 lbs.",$160.00 ,,
PV-WMB,"Wall mount bracket for use with V80, P80, P91(g) and P91L series UPSs and battery packs up to 5KVA;   4""W x 24""D x 4""H. 5 lbs.",$80.00 ,,
